sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz300331,苏大维格,★人气/成交/💰大战场,2611000000.0,5.33,30.97,-2.04,41.9,🟢 Safe,-,-,,36.22,,0,0,0,300331
sh601869,长飞光纤,★人气/成交/💰大战场,2593000000.0,3.37,5.44,0.55,117.76,🟢 Safe,-,-,,-7.31,,0,0,0,601869
sz300567,精测电子,★人气/成交/💰大战场,2589000000.0,5.64,10.59,-0.43,109.55,🟢 Safe,-,-,,30.42,,0,0,0,300567
sh601398,工商银行,★人气/成交/💰大战场,2553000000.0,-0.64,0.12,-0.26,7.75,🟢 Safe,-,-,,-1.77,,0,0,0,601398
sh688809,C强一,★人气/成交/首板/💰大战场,2550000000.0,12.55,31.76,7.51,329.77,🟢 Safe,-,-,,0.0,,0,0,0,688809
sh688313,仕佳光子,★人气/成交/💰大战场,2529000000.0,2.62,6.33,0.88,88.8,🟢 Safe,-,-,,-8.84,,0,0,0,688313
sh600988,赤峰黄金,★人气/成交/💰大战场,2526000000.0,-3.12,4.84,0.09,31.01,🟢 Safe,-,-,,-6.31,,0,0,0,600988
sh600501,航天晨光,★人气/★人气/成交/航天/💰大战场,2525000000.0,3.66,19.01,-3.09,31.18,🟢 Safe,-,-,,21.7,,0,0,0,600501
sz002757,南兴股份,F佬/南兴股份(AI智能体/没动/豆包预期) # 复盘：没动，有豆包春晚预期/★人气/成交/💰大战场,2510000000.0,-8.28,38.98,-4.29,21.61,🟢 Safe,-,-,,36.6,,0,0,0,002757
sz002240,盛新锂能,★人气/成交/💰大战场,2494000000.0,-1.19,7.33,1.48,36.62,🟢 Safe,-,-,,6.83,,0,0,0,002240
sh688249,晶合集成,★人气/成交/💰大战场,2489000000.0,5.35,5.64,1.84,37.24,🟢 Safe,-,-,,3.19,,0,0,0,688249
sh600459,贵研铂业,★人气/成交/💰大战场,2482000000.0,0.0,15.07,4.17,21.12,🟢 Safe,-,-,,5.76,,0,0,0,600459
sh601399,国机重装,★人气/成交/1板/💰大战场,2465000000.0,9.98,6.32,-1.0,5.51,🟢 Safe,-,-,,-2.13,,0,0,0,601399
sz002400,省广集团,★人气/成交/💰大战场,2444000000.0,0.32,15.22,-0.43,9.27,🟢 Safe,-,-,,13.06,,0,0,0,002400
