代码		    名称		涨幅		现价		当日成交额		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		早盘竞价金额		尾盘竞价金额		
SH600100	同方股份	-0.55%		9.10		8.20亿		2.68%		1.37		304.88亿	--		--		计算机设备	【网络安全;华为昇腾;信创;AI语料;算力租赁;国产操作系统;智慧城市;区块链;安防;ChatGPT概念;鸿蒙概念;AI智能体;国资云;在线教育;数据要素;AIGC概念;核污染防治;数字经济;东数西算(算力);物联网;DeepSeek概念;人工智能;华为概念;工业互联网;食品安全;机器视觉;京津冀一体化;机器人概念;土壤修复;创投;互联网保险;锂电池概念;数据中心;核电;央企国企改革;消费电子概念;储能;国企改革;雄安新区;可控核聚变;参股券商;液冷服务器;沪股通;融资融券;股权转让(并购重组)】	--		--		+8.59%		-0.87%		+0.22		2307172		9530430		
SH600101	明星电力	-0.84%		9.40		1.41亿		2.72%		1.44		51.50亿		--		--		电力		【绿色电力;钒电池;智能电网;国企改革;西部大开发;央企国企改革;充电桩;小金属概念;沪股通;融资融券】	--		--		+1.84%		+2.84%		+0.11		438438		795240		
SH600103	青山纸业	-0.48%		4.19		5.45亿		5.89%		0.61		92.70亿		--		--		造纸		【海峡两岸;共封装光学(CPO);创投;数据中心;5G;碳中和;乡村振兴;一带一路;国企改革;沪股通】	--		--		+5.01%		-4.34%		-0.71		2379674		7071463		
SH600104	上汽集团	-1.54%		15.30		8.85亿		0.50%		1.30		1758.78亿	--		--		汽车整车	【超级品牌;网约车;国企改革;证金持股;参股银行;燃料电池;一带一路;上海国企改革;同花顺漂亮100;足球概念;无人驾驶;换电概念;车联网(车路协同);DeepSeek概念;华为汽车;新能源汽车;独角兽概念;动力电池回收;华为概念;固态电池;宁德时代概念;沪股通;融资融券】	--		--		-1.86%		+0.39%		-0.19		2900370		10254182	
SH600105	永鼎股份	+4.24%		27.29		69.15亿		17.54%		1.07		398.98亿	--		--		通信设备	【超导概念;可控核聚变;光纤概念;共封装光学(CPO);商业航天;核电;海工装备;芯片概念;3D打印;5G;军工;数据中心;风电;比亚迪概念;新能源汽车;东数西算(算力);低空经济;专精特新;华为概念;华为汽车;数据安全;工业互联网;网络安全;一带一路;长三角一体化;沪股通;参股银行;融资融券】	--		--		+26.69%		+50.44%		-1.83		26098761	57697610	
SH600106	重庆路桥	+0.47%		6.37		1.38亿		1.63%		1.53		84.66亿		--		--		公路铁路运输	【参股券商;ETC;西部大开发;PPP概念;参股银行;智慧城市;创投;沪股通;融资融券】	--		--		+1.92%		-1.39%		+0.00		656190		1067612		
SH600108	亚盛集团	+2.19%		3.27		2.65亿		4.18%		1.49		63.66亿		--		--		种植业与林业	【土地流转;玉米;粮食概念;农业种植;啤酒概念;乡村振兴;国企改革;代糖概念;参股券商;西部大开发;跨境电商;水利;回购增持再贷款概念;融资融券;沪股通】	--		--		-2.10%		+2.83%		+0.00		438400		3649647		
SH600109	国金证券	-0.82%		9.62		4.21亿		1.18%		1.25		356.46亿	--		--		证券		【期货概念;西部大开发;腾讯概念;沪股通;融资融券】	--		--		+4.00%		+2.89%		+0.21		5693976		5048210		
SH600110	诺德股份	+0.27%		7.46		5.52亿		4.26%		1.01		129.44亿	--		--		电池		【PET铜箔;固态电池;锂电池概念;宁德时代概念;PCB概念;储能;比亚迪概念;特斯拉概念;新能源汽车;粤港澳大湾区;绿色电力;无人机;核电;军工;融资融券;股权转让(并购重组);沪股通】	--		--		+10.68%		-2.48%		-0.54		3506860		6726682		
SH600111	北方稀土	+4.88%		50.50		135.36亿	7.51%		3.19		1825.61亿	--		--		小金属		【稀土永磁;小金属概念;金属回收;2025三季报预增;军工;同花顺漂亮100;西部大开发;专精特新;氢能源;国企改革;回购增持再贷款概念;沪股通;融资融券】	--		--		+10.87%		+7.04%		+2.39		70797462	99486010	
SH600113	浙江东日	-2.38%		63.18		2.80亿		1.07%		0.90		259.94亿	--		--		零售		【冷链物流;统一大市场;预制菜;乡村振兴;参股银行;共同富裕示范区;中俄贸易概念;国企改革;长三角一体化;智能医疗;人工智能;融资融券;沪股通】	--		--		+2.50%		+15.69%		+0.40		2560212		2388204		
SH600114	东睦股份	+4.21%		31.68		8.54亿		4.42%		1.67		195.27亿	--		--		通用设备	【人形机器人;3D打印;特斯拉概念;消费电子概念;苹果概念;新能源汽车;小米概念;机器人概念;数据中心;柔性屏(折叠屏);两轮车;低空经济;华为概念;燃料电池;东数西算(算力);智能医疗;沪股通;融资融券】	--		--		+1.83%		+9.39%		-0.46		732292		6815509		
SH600115	中国东航	+0.16%		6.14		5.38亿		0.51%		0.53		1045.33亿	--		--		机场航运	【跨境电商;同花顺中特估100;证金持股;国企改革;央企国企改革;大飞机;3D打印;沪股通;融资融券;中字头股票】	--		--		+6.60%		+17.62%		-0.33		1471899		3073070		
SH600116	三峡水利	+0.15%		6.51		7984.88万	0.64%		0.76		124.48亿	--		--		电力		【国企改革;央企国企改革;绿色电力;西部大开发;水利;虚拟电厂;充电桩;储能;沪股通;融资融券;小金属概念】	--		--		-0.61%		+0.31%		+0.00		319800		1067640		
